motivation_seeking_class,prior_participation_open_house,prior_participation_instant_decision,prior_participation_oncampus_session,prior_participation_virtual_session,prior_participation_women_dare,prior_participation_regional_fair,extent_school_computing_class,extent_school_computing_club,extent_computing_competitions,extent_afterschool_computing,extent_summer_computing_camp,extent_ap_computing,extent_dual_enrollment,extent_family_friend,extent_family_friend_computing,extent_teacher_counselor,extent_employer,hear_about_ccm,new_class_interest,new_class_interest_specific
It’s a required class for the degree I’m seeking,Yes,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Billboard;Family member or friend;Current student;High School,1,
To keep current in computing skills;Career Advancement;Professional Development;Curiosity,Not Sure,Not Sure,Not Sure,Not Sure,No,Not Sure,No Impact,,,,No Impact,,,High Impact,,,High Impact,Family member or friend,3,Game Design
It’s a required class for the degree I’m seeking;To keep current in computing skills;Personal Enrichment,No,No,No,No,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Some Impact,No Impact,Some Impact,No Impact,Web site;Social Media;Family member or friend;High School,2,
It’s a required class for the degree I’m seeking,No,No,No,No,No,No,,,,,,,,,,,,Social Media;Family member or friend;High School,2,
It’s a required class for the degree I’m seeking,No,No,No,No,No,No,,,,,,,,,,,,Social Media;Family member or friend;High School,2,
It’s a required class for the degree I’m seeking;To keep current in computing skills,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Family member or friend,1,
It’s a required class for the degree I’m seeking,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Family member or friend,4,CyberSecurity;Game Design
It’s a required class for the degree I’m seeking,No,No,No,Yes,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Web site;Family member or friend,1,
It’s a required class for the degree I’m seeking;Professional Development,Yes,No,No,Yes,No,Yes,Some Impact,,,,,,Some Impact,High Impact,Some Impact,Some Impact,High Impact,Web site;Current student,3,Machine Learning/Artificial Intelligence;Computer Programming
It’s a required class for the degree I’m seeking,Yes,No,Not Sure,No,No,No,Some Impact,,,,,,,,,,,Web site;Billboard;Family member or friend,4,Machine Learning/Artificial Intelligence
It’s a required class for the degree I’m seeking;Career Advancement,No,No,No,Yes,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Family member or friend;Current student;Alumni;High School,2,Game Design
It’s a required class for the degree I’m seeking,No,No,No,Yes,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Family member or friend,3,Web Development;Computer Programming;Hardware Installation & Repair
It’s a required class for the degree I’m seeking,No,No,No,No,No,No,Some Impact,Some Impact,,,,,,,,,,Current student;High School,3,Data Analytics;Game Design
It’s a required class for the degree I’m seeking,No,No,Not Sure,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Billboard;Family member or friend;High School,3,
It’s a required class for the degree I’m seeking,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Alumni,1,
It’s a required class for the degree I’m seeking,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High School,2,CyberSecurity;Game Design
It’s a required class for the degree I’m seeking,No,No,No,No,No,No,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,High School,3,App Development
